City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Matara,LK,81.07,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
3,Port Blair,IN,82.35,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
6,Bayji,IQ,77.58,clear sky,34.9311,43.487,مروان /عدنان
10,Ibotirama,BR,78.69,scattered clouds,-12.1853,-43.2206,Serra do Rio Hotel
12,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
13,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
14,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
15,Hithadhoo,MV,79.77,light rain,-0.6,73.0833,Scoop Guest House
21,Meulaboh,ID,82.27,scattered clouds,4.1363,96.1285,Kost Pria
30,Balkanabat,TM,75.11,clear sky,39.5108,54.3671,Nebitchi Hotel
32,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
39,Sarankhola,BD,82.65,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
40,Sao Geraldo Do Araguaia,BR,85.82,broken clouds,-6.4006,-48.555,Hotel Por do Sol
53,Dingle,PH,85.46,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
55,Road Town,VG,83.19,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
60,Chimore,BO,77.32,scattered clouds,-16.9833,-65.1333,Bichito
61,Kulhudhuffushi,MV,82.13,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
66,Puerto Carreno,CO,75.65,moderate rain,6.189,-67.4859,Casa Hotel Victoria
68,San Clemente,US,80.82,scattered clouds,33.427,-117.612,Casablanca Inn
88,Newcastle,AU,81.91,clear sky,-32.9272,151.7765,NOAH'S on the beach
97,Mahoba,IN,78.15,overcast clouds,25.2833,79.8667,"Hotel, Restaurant and Guest House"
102,Oriximina,BR,79.83,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
109,Axim,GH,75.69,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
112,Marsh Harbour,BS,83.21,few clouds,26.5412,-77.0636,Abaco Beach Resort
115,Tumaco,CO,75.88,overcast clouds,1.7986,-78.8156,Dafneruben
116,Robertsport,LR,78.37,moderate rain,6.7533,-11.3686,Kwepunha Retreat
117,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
122,Kamoke,PK,77.13,clear sky,31.9744,74.2244,Al-Rabbani Mension
124,Hambantota,LK,82.24,overcast clouds,6.1241,81.1185,Bungalow 63
126,Victoria,HK,89.65,scattered clouds,22.2855,114.1577,Mini Hotel Central
128,Shagamu,NG,76.78,overcast clouds,6.8432,3.6478,Remo Majestic Hotel
131,Sao Filipe,CV,78.62,overcast clouds,14.8961,-24.4956,Hotel Xaguate
136,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
137,Jensen Beach,US,81.05,few clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
139,Sokoni,TZ,76.3,few clouds,-6.4333,39.55,Ujamaa Beach Resort
149,Isabela,PH,87.85,broken clouds,6.7085,121.9711,Isawad Resort
151,Teseney,ER,76.91,broken clouds,15.11,36.6575,Sabrin Hotel
155,Palma Soriano,CU,79.66,few clouds,20.2172,-75.9989,Mercedes Rooms
156,Kralendijk,BQ,84.18,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
157,Abu Zabad,SD,77.05,few clouds,12.35,29.25,حامد محمد نور
171,Kuri,KR,76.86,broken clouds,37.5986,127.1394,U&I HOTEL in Guri
172,Tigzirt,DZ,80.29,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
173,Mayumba,GA,75.49,overcast clouds,-3.432,10.6554,LIKWALE LODGE
175,Atar,MR,88.81,clear sky,20.5169,-13.0499,Oumou Elghoura
179,Takoradi,GH,75.7,overcast clouds,4.8845,-1.7554,Raybow International Hotel
181,Ateli,IN,78.87,broken clouds,28.1,76.2833,Kuldeep hom
183,Sinnamary,GF,79.86,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
184,Titlagarh,IN,78.48,overcast clouds,20.3,83.15,Jalaram Lodging & Boarding
190,Itaituba,BR,77.61,overcast clouds,-4.2761,-55.9836,Hotel Campos
192,Jardim,BR,83.43,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
198,Savelugu,GH,75.56,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
201,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
203,Aswan,EG,80.96,clear sky,24.0934,32.907,Nuba Nile
205,Safaga,EG,82.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
207,Rosetta,EG,75.02,clear sky,31.4044,30.4164,Green Valley
209,Iralaya,HN,80.1,scattered clouds,15.0,-83.2333,Iglesia morava renovada
213,Shadegan,IR,80.55,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
216,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
218,Linden,GY,75.34,broken clouds,6.0,-58.3,Crimson Bat Hotel
219,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
220,Dwarka,IN,80.58,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
223,Tabou,CI,76.33,light rain,4.423,-7.3528,hotêl doufoulougou
