,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualmay,PE,-11.0964,-77.6139,62.13,84,43,7.05,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,44.26,61,40,17.27,light intensity drizzle
2,Matara,LK,5.9485,80.5353,81.07,81,84,10.27,broken clouds
3,Port Blair,IN,11.6667,92.75,82.35,79,69,11.95,broken clouds
4,Rudsar,IR,37.1376,50.288,67.98,71,0,3.4,clear sky
5,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,77,20,9.73,few clouds
6,Bayji,IQ,34.9311,43.487,77.58,38,0,6.69,clear sky
7,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,38,10.6,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,60.66,82,100,12.97,overcast clouds
9,Kesova Gora,RU,57.5836,37.2922,40.82,98,82,6.6,broken clouds
10,Ibotirama,BR,-12.1853,-43.2206,78.69,51,35,4.54,scattered clouds
11,Chuy,UY,-33.6971,-53.4616,54.48,96,64,5.66,broken clouds
12,Bodden Town,KY,19.2833,-81.25,84.2,84,20,1.01,few clouds
13,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,10.36,scattered clouds
14,Georgetown,MY,5.4112,100.3354,86.9,77,20,1.99,few clouds
15,Hithadhoo,MV,-0.6,73.0833,79.77,84,100,18.12,light rain
16,Belmonte,BR,-15.8631,-38.8828,66.7,76,93,10.98,overcast clouds
17,Cidreira,BR,-30.1811,-50.2056,61.18,94,100,11.86,overcast clouds
18,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,78,96,6.33,overcast clouds
19,Kuybyshevskiy Zaton,RU,55.1593,49.1701,48.78,89,100,18.43,light rain
20,Lebu,CL,-37.6167,-73.65,50.34,86,0,11.7,clear sky
21,Meulaboh,ID,4.1363,96.1285,82.27,74,33,3.04,scattered clouds
22,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,0,11.5,clear sky
23,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,18,4.61,few clouds
24,Mahebourg,MU,-20.4081,57.7,71.89,83,75,9.22,broken clouds
25,Saint Anthony,US,45.0205,-93.218,63.9,66,1,1.01,clear sky
26,Adrar,MR,20.5022,-10.0711,89.67,15,21,7.16,few clouds
27,Busselton,AU,-33.65,115.3333,61.05,55,0,12.68,clear sky
